object_type,schema_name,object_name,grantee,privilege_type,is_grantable
column,storage,buckets_analytics.id,authenticated,INSERT,NO
column,storage,buckets_analytics.id,authenticated,REFERENCES,NO
column,storage,buckets_analytics.id,authenticated,UPDATE,NO
column,storage,buckets_analytics.name,anon,INSERT,NO
column,storage,buckets_analytics.name,anon,REFERENCES,NO
column,storage,buckets_analytics.name,anon,UPDATE,NO
column,storage,buckets_analytics.name,authenticated,INSERT,NO
column,storage,buckets_analytics.name,authenticated,REFERENCES,NO
column,storage,buckets_analytics.name,authenticated,UPDATE,NO
column,storage,buckets_analytics.type,anon,INSERT,NO
column,storage,buckets_analytics.type,anon,REFERENCES,NO
column,storage,buckets_analytics.type,anon,UPDATE,NO
column,storage,buckets_analytics.type,authenticated,INSERT,NO
column,storage,buckets_analytics.type,authenticated,REFERENCES,NO
column,storage,buckets_analytics.type,authenticated,UPDATE,NO
column,storage,buckets_analytics.updated_at,anon,INSERT,NO
column,storage,buckets_analytics.updated_at,anon,REFERENCES,NO
column,storage,buckets_analytics.updated_at,anon,UPDATE,NO
column,storage,buckets_analytics.updated_at,authenticated,INSERT,NO
column,storage,buckets_analytics.updated_at,authenticated,REFERENCES,NO
column,storage,buckets_analytics.updated_at,authenticated,UPDATE,NO
column,storage,objects.bucket_id,anon,INSERT,NO
column,storage,objects.bucket_id,anon,REFERENCES,NO
column,storage,objects.bucket_id,anon,UPDATE,NO
column,storage,objects.bucket_id,authenticated,INSERT,NO
column,storage,objects.bucket_id,authenticated,REFERENCES,NO
column,storage,objects.bucket_id,authenticated,UPDATE,NO
column,storage,objects.created_at,anon,INSERT,NO
column,storage,objects.created_at,anon,REFERENCES,NO
column,storage,objects.created_at,anon,UPDATE,NO
column,storage,objects.created_at,authenticated,INSERT,NO
column,storage,objects.created_at,authenticated,REFERENCES,NO
column,storage,objects.created_at,authenticated,UPDATE,NO
column,storage,objects.id,anon,INSERT,NO
column,storage,objects.id,anon,REFERENCES,NO
column,storage,objects.id,anon,UPDATE,NO
column,storage,objects.id,authenticated,INSERT,NO
column,storage,objects.id,authenticated,REFERENCES,NO
column,storage,objects.id,authenticated,UPDATE,NO
column,storage,objects.last_accessed_at,anon,INSERT,NO
column,storage,objects.last_accessed_at,anon,REFERENCES,NO
column,storage,objects.last_accessed_at,anon,UPDATE,NO
column,storage,objects.last_accessed_at,authenticated,INSERT,NO
column,storage,objects.last_accessed_at,authenticated,REFERENCES,NO
column,storage,objects.last_accessed_at,authenticated,UPDATE,NO
column,storage,objects.level,anon,INSERT,NO
column,storage,objects.level,anon,REFERENCES,NO
column,storage,objects.level,anon,UPDATE,NO
column,storage,objects.level,authenticated,INSERT,NO
column,storage,objects.level,authenticated,REFERENCES,NO
column,storage,objects.level,authenticated,UPDATE,NO
column,storage,objects.metadata,anon,INSERT,NO
column,storage,objects.metadata,anon,REFERENCES,NO
column,storage,objects.metadata,anon,UPDATE,NO
column,storage,objects.metadata,authenticated,INSERT,NO
column,storage,objects.metadata,authenticated,REFERENCES,NO
column,storage,objects.metadata,authenticated,UPDATE,NO
column,storage,objects.name,anon,INSERT,NO
column,storage,objects.name,anon,REFERENCES,NO
column,storage,objects.name,anon,UPDATE,NO
column,storage,objects.name,authenticated,INSERT,NO
column,storage,objects.name,authenticated,REFERENCES,NO
column,storage,objects.name,authenticated,UPDATE,NO
column,storage,objects.owner,anon,INSERT,NO
column,storage,objects.owner,anon,REFERENCES,NO
column,storage,objects.owner,anon,UPDATE,NO
column,storage,objects.owner,authenticated,INSERT,NO
column,storage,objects.owner,authenticated,REFERENCES,NO
column,storage,objects.owner,authenticated,UPDATE,NO
column,storage,objects.owner_id,anon,INSERT,NO
column,storage,objects.owner_id,anon,REFERENCES,NO
column,storage,objects.owner_id,anon,UPDATE,NO
column,storage,objects.owner_id,authenticated,INSERT,NO
column,storage,objects.owner_id,authenticated,REFERENCES,NO
column,storage,objects.owner_id,authenticated,UPDATE,NO
column,storage,objects.path_tokens,anon,INSERT,NO
column,storage,objects.path_tokens,anon,REFERENCES,NO
column,storage,objects.path_tokens,anon,UPDATE,NO
column,storage,objects.path_tokens,authenticated,INSERT,NO
column,storage,objects.path_tokens,authenticated,REFERENCES,NO
column,storage,objects.path_tokens,authenticated,UPDATE,NO
column,storage,objects.updated_at,anon,INSERT,NO
column,storage,objects.updated_at,anon,REFERENCES,NO
column,storage,objects.updated_at,anon,UPDATE,NO
column,storage,objects.updated_at,authenticated,INSERT,NO
column,storage,objects.updated_at,authenticated,REFERENCES,NO
column,storage,objects.updated_at,authenticated,UPDATE,NO
column,storage,objects.user_metadata,anon,INSERT,NO
column,storage,objects.user_metadata,anon,REFERENCES,NO
column,storage,objects.user_metadata,anon,UPDATE,NO
column,storage,objects.user_metadata,authenticated,INSERT,NO
column,storage,objects.user_metadata,authenticated,REFERENCES,NO
column,storage,objects.user_metadata,authenticated,UPDATE,NO
column,storage,objects.version,anon,INSERT,NO
column,storage,objects.version,anon,REFERENCES,NO
column,storage,objects.version,anon,UPDATE,NO
column,storage,objects.version,authenticated,INSERT,NO
