record_type,schema_name,function_name,identity_args,prokind,is_security_definer,owner_role,language,search_path_value,search_path_pinned,proacl_text,grantee,privilege_type
execute_grant,extensions,hmac,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,hmac,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,max,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,max,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,min,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,min,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pg_stat_statements,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pg_stat_statements,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pg_stat_statements_info,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pg_stat_statements_info,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pg_stat_statements_reset,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_armor_headers,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_armor_headers,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_key_id,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_key_id,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_decrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_encrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_encrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_encrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_encrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_encrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_encrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_pub_encrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_pub_encrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_decrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_decrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_decrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_decrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_decrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_decrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_decrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_decrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_encrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_encrypt,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_encrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_encrypt,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_encrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_encrypt_bytea,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgp_sym_encrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgp_sym_encrypt_bytea,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgrst_ddl_watch,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgrst_ddl_watch,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,pgrst_drop_watch,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,pgrst_drop_watch,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_match,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_match,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_match,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_match,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_matches,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_matches,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_matches,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_matches,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_replace,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_replace,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_replace,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_replace,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_split_to_array,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_split_to_array,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_split_to_array,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_split_to_array,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_split_to_table,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_split_to_table,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,regexp_split_to_table,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,regexp_split_to_table,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,replace,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,replace,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,set_graphql_placeholder,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,set_graphql_placeholder,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,split_part,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,split_part,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,strpos,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,strpos,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticlike,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticlike,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticlike,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticlike,,,,,,,,,postgres,EXECUTE
execute_grant,extensions,texticnlike,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticnlike,,,,,,,,,PUBLIC,EXECUTE
execute_grant,extensions,texticnlike,,,,,,,,,postgres,EXECUTE
