record_type,schema_name,relation_name,relkind,owner_role,relrowsecurity,relforcerowsecurity,policy_count,gate_id,gate_reason,grantee,privilege_type
gate,auth,mfa_factors,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,one_time_tokens,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,refresh_tokens,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,saml_providers,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,saml_relay_states,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,schema_migrations,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,sessions,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,sso_domains,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,sso_providers,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,auth,users,r,supabase_auth_admin,t,f,0,GATE_RLS_ENABLED_NO_POLICIES,RLS enabled but no policies,,
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,DELETE
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,INSERT
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,REFERENCES
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,SELECT
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,TRIGGER
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,TRUNCATE
gate,net,_http_response,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,UPDATE
gate,net,http_request_queue,r,supabase_admin,f,f,0,GATE_RLS_DISABLED_EXPOSED,RLS disabled but grants exist for anon/auth/PUBLIC,PUBLIC,DELETE
