function_name,call_count,callsites,patterns_matched,notes,used_in_app
owner_delete_venue_pricing_tier,0,,,not found in code,no
owner_delete_venue_species_stock,0,,,not found in code,no
owner_get_venue_by_slug,2,"src/pages/MyVenueEdit.tsx:400, src/pages/MyVenueEdit.tsx:643",supabase.rpc,,yes
owner_get_venue_events,3,"src/pages/MyVenueEdit.tsx:495, src/pages/MyVenueEdit.tsx:777, src/pages/MyVenueEdit.tsx:804",supabase.rpc,,yes
owner_set_venue_photo_primary,0,,,not found in code,no
owner_update_venue_booking,0,,,not found in code,no
owner_update_venue_event,1,src/pages/MyVenueEdit.tsx:739,supabase.rpc,,yes
owner_update_venue_metadata,1,src/pages/MyVenueEdit.tsx:631,supabase.rpc,,yes
owner_update_venue_opening_hour,0,,,not found in code,no
owner_update_venue_pricing_tier,0,,,not found in code,no
owner_update_venue_rules,0,,,not found in code,no
owner_update_venue_species_stock,0,,,not found in code,no
rate_catch_with_rate_limit,1,src/hooks/useCatchInteractions.ts:130,supabase.rpc,,yes
react_to_catch_with_rate_limit,1,src/hooks/useCatchInteractions.ts:111,supabase.rpc,,yes
refresh_leaderboard_precompute,0,,,not found in code,no
request_account_deletion,1,src/pages/ProfileSettings.tsx:346,supabase.rpc,,yes
request_account_export,1,src/pages/ProfileSettings.tsx:289,supabase.rpc,,yes
set_comment_admin_author,0,,,not found in code,no
set_updated_at,0,,,not found in code,no
soft_delete_comment,1,src/components/CatchComments.tsx:414,supabase.rpc,,yes
unblock_profile,2,"src/pages/ProfileSettings.tsx:374, src/pages/profile/hooks/useProfileData.ts:303",supabase.rpc,,yes
upsert_venue_rating,1,src/pages/venue-detail/hooks/useVenueDetailData.ts:522,supabase.rpc,,yes
user_rate_limits,3,"src/lib/__tests__/rate-limit-db.test.ts:282, src/lib/__tests__/rate-limit-db.test.ts:314, src/lib/__tests__/rate-limit-db.test.ts:353",supabase.rpc,,yes
